id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,prevalensi_balita_stunting,satuan,tahun
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,18.9,PERSEN,2024
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,20.5,PERSEN,2024
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7.2,PERSEN,2024
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,24.1,PERSEN,2024
113,32,JAWA BARAT,3205,KABUPATEN GARUT,14.2,PERSEN,2024
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,17.0,PERSEN,2024
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,20.3,PERSEN,2024
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,22.7,PERSEN,2024
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,18.0,PERSEN,2024
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,18.0,PERSEN,2024
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,17.0,PERSEN,2024
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,9.8,PERSEN,2024
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,12.4,PERSEN,2024
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14.4,PERSEN,2024
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,17.6,PERSEN,2024
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,18.2,PERSEN,2024
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,30.8,PERSEN,2024
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,17.3,PERSEN,2024
127,32,JAWA BARAT,3271,KOTA BOGOR,21.1,PERSEN,2024
128,32,JAWA BARAT,3272,KOTA SUKABUMI,19.7,PERSEN,2024
129,32,JAWA BARAT,3273,KOTA BANDUNG,22.8,PERSEN,2024
130,32,JAWA BARAT,3274,KOTA CIREBON,14.9,PERSEN,2024
131,32,JAWA BARAT,3275,KOTA BEKASI,11.7,PERSEN,2024
132,32,JAWA BARAT,3276,KOTA DEPOK,12.5,PERSEN,2024
133,32,JAWA BARAT,3277,KOTA CIMAHI,22.3,PERSEN,2024
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,19.6,PERSEN,2024
135,32,JAWA BARAT,3279,KOTA BANJAR,18.8,PERSEN,2024
